rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
430,Fork-tailed Flycatcher,exact common name,Tyrannus savana,Tyrannus savana,Fork-tailed Flycatcher,tyrannus-savana,,source downloaded - NOT a finished asset,168,Fork-tailed Flycatcher,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/fork-tailed-flycatcher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0168,unverified - check exact scan,not reviewed,sources/168.jpg,https://media.audubon.org/boa_illustration/plate-168-fork-tailed-flycatcher.jpg,b73be4c4568854097d6c62ea14b4eae3bd2b09877819db363069efb01515313d,present,https://commons.wikimedia.org/wiki/File:168_Fork-tailed_Flycatcher.jpg
431,Northern Shrike,exact common name,Lanius borealis,Lanius borealis,Northern Shrike,lanius-borealis,,needs source,,,,,,,,,,,missing,
432,Black-capped Vireo,exact common name,Vireo atricapilla,Vireo atricapilla,Black-capped Vireo,vireo-atricapilla,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_24)_(6306012031).jpg"
433,Hutton's Vireo,exact common name,Vireo huttoni,Vireo huttoni,Hutton's Vireo,vireo-huttoni,,needs source,,,,,,,,,,,missing,
434,Yellow-green Vireo,exact common name,Vireo flavoviridis,Vireo flavoviridis,Yellow-green Vireo,vireo-flavoviridis,,needs source,,,,,,,,,,,missing,
435,Woodhouse's Scrub-Jay,exact common name,Aphelocoma woodhouseii,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,aphelocoma-woodhouseii,,needs source,,,,,,,,,,,missing,
436,Common Raven,exact common name,Corvus corax,Corvus corax,Common Raven,corvus-corax,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIRaven.jpg
437,Violet-green Swallow,exact common name,Tachycineta thalassina,Tachycineta thalassina,Violet-green Swallow,tachycineta-thalassina,,needs source,,,,,,,,,,,missing,
438,Verdin,exact common name,Auriparus flaviceps,Auriparus flaviceps,Verdin,auriparus-flaviceps,,needs source,,,,,,,,,,,missing,
439,Bushtit,exact common name,Psaltriparus minimus,Psaltriparus minimus,Bushtit,psaltriparus-minimus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bushtit_(PSF).jpg
440,Pygmy Nuthatch,exact common name,Sitta pygmaea,Sitta pygmaea,Pygmy Nuthatch,sitta-pygmaea,,needs source,,,,,,,,,,,missing,
441,Cactus Wren,exact common name,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,Cactus Wren,campylorhynchus-brunneicapillus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Animal_life_of_the_Carlsbad_cavern_(1928)_(17576942823).jpg
442,Canyon Wren,exact common name,Catherpes mexicanus,Catherpes mexicanus,Canyon Wren,catherpes-mexicanus,,needs source,,,,,,,,,,,missing,
443,American Dipper,exact common name,Cinclus mexicanus,Cinclus mexicanus,American Dipper,cinclus-mexicanus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:370_American_Water_Ouzel.jpg
444,Western Bluebird,exact common name,Sialia mexicana,Sialia mexicana,Western Bluebird,sialia-mexicana,,needs source,,,,,,,,,,,missing,
445,Townsend's Solitaire,exact common name,Myadestes townsendi,Myadestes townsendi,Townsend's Solitaire,myadestes-townsendi,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:419_I._Little_Tawny_Thrush_-_2._Ptiliogony%27s_Townsendi_-_3._Canada_Jay.jpg
446,Clay-colored Thrush,exact common name,Turdus grayi,Turdus grayi,Clay-colored Thrush,turdus-grayi,,needs source,,,,,,,,,,,missing,
447,Sage Thrasher,exact common name,Oreoscoptes montanus,Oreoscoptes montanus,Sage Thrasher,oreoscoptes-montanus,,needs source,,,,,,,,,,,missing,
448,Long-billed Thrasher,exact common name,Toxostoma longirostre,Toxostoma longirostre,Long-billed Thrasher,toxostoma-longirostre,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Langschnabel_Spottdrossel.JPG
449,Curve-billed Thrasher,exact common name,Toxostoma curvirostre,Toxostoma curvirostre,Curve-billed Thrasher,toxostoma-curvirostre,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Mimus_curvirostris_-_1700-1880_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16300341.tif
450,Phainopepla,exact common name,Phainopepla nitens,Phainopepla nitens,Phainopepla,phainopepla-nitens,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_29)_(6306537388).jpg"
451,Red-faced Warbler,exact common name,Cardellina rubrifrons,Cardellina rubrifrons,Red-faced Warbler,cardellina-rubrifrons,,needs source,,,,,,,,,,,missing,
452,Olive Sparrow,exact common name,Arremonops rufivirgatus,Arremonops rufivirgatus,Olive Sparrow,arremonops-rufivirgatus,,needs source,,,,,,,,,,,missing,
453,Canyon Towhee,exact common name,Melozone fusca,Melozone fusca,Canyon Towhee,melozone-fusca,,needs source,,,,,,,,,,,missing,
454,American Tree Sparrow,exact common name,Spizelloides arborea,Spizelloides arborea,American Tree Sparrow,spizelloides-arborea,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:188_Tree_Sparrow.jpg
455,Baird's Sparrow,exact common name,Centronyx bairdii,Centronyx bairdii,Baird's Sparrow,centronyx-bairdii,,needs source,,,,,,,,,,,missing,
456,Golden-crowned Sparrow,exact common name,Zonotrichia atricapilla,Zonotrichia atricapilla,Golden-crowned Sparrow,zonotrichia-atricapilla,,needs source,,,,,,,,,,,missing,
457,Chestnut-collared Longspur,exact common name,Calcarius ornatus,Calcarius ornatus,Chestnut-collared Longspur,calcarius-ornatus,,needs source,,,,,,,,,,,missing,
458,Snow Bunting,exact common name,Plectrophenax nivalis,Plectrophenax nivalis,Snow Bunting,plectrophenax-nivalis,,existing upstream,189,Snow Bunting,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/snow-bunting,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0189,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:Plectrophenax_nivalis_2.jpg
459,Audubon's Oriole,exact common name,Icterus graduacauda,Icterus graduacauda,Audubon's Oriole,icterus-graduacauda,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_21)_(6306011127).jpg"
460,Scott's Oriole,exact common name,Icterus parisorum,Icterus parisorum,Scott's Oriole,icterus-parisorum,,needs source,,,,,,,,,,,missing,
461,Pine Grosbeak,exact common name,Pinicola enucleator,Pinicola enucleator,Pine Grosbeak,pinicola-enucleator,,existing upstream,358,Pine Grosbeak,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/pine-grosbeak,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0358,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIISiberian_Grosbeak.jpg
462,Common Redpoll,exact common name,Acanthis flammea,Acanthis flammea,Common Redpoll,acanthis-flammea,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIMealy_Redpole.jpg
463,Graylag Goose,exact common name,Anser anser,Anser anser,Graylag Goose,anser-anser,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGrey_Lag_Wild_Goose.jpg
464,Swan Goose,exact common name,Anser cygnoides,Anser cygnoides,Swan Goose,anser-cygnoides,,needs source,,,,,,,,,,,missing,
465,Chiloe Wigeon,exact common name,Mareca sibilatrix,Mareca sibilatrix,Chiloe Wigeon,mareca-sibilatrix,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_South_America_(Pl._38)_(7822930610).jpg
466,Band-tailed Pigeon,exact common name,Patagioenas fasciata,Patagioenas fasciata,Band-tailed Pigeon,patagioenas-fasciata,,source downloaded - NOT a finished asset,368,Band-tailed Pigeon,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/rock-grous,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0368,unverified - check exact scan,not reviewed,sources/368.jpg,https://media.audubon.org/boa_illustration/plate-368-rock-grous.jpg,572ab98f47238adc7102b6a137301f61b8244a99fd2556f570b66782195355b5,missing,
467,Clapper Rail,exact common name,Rallus crepitans,Rallus crepitans,Clapper Rail,rallus-crepitans,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:204_Salt_Water_Marsh_Hen.jpg
468,Great Black-backed Gull,exact common name,Larus marinus,Larus marinus,Great Black-backed Gull,larus-marinus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGreat_Black-backed_Gull.jpg
469,Vega Gull,unresolved,,,,,Resolve Larus vegae versus older Herring Gull label before shipping.,taxonomy review,,,,,,,,,,,taxonomy-review,
470,Slaty-backed Gull,exact common name,Larus schistisagus,Larus schistisagus,Slaty-backed Gull,larus-schistisagus,,needs source,,,,,,,,,,,missing,
471,Iceland Gull,exact common name,Larus glaucoides,Larus glaucoides,Iceland Gull,larus-glaucoides,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVIceland_Gull.jpg
472,Boat-tailed Grackle,exact common name,Quiscalus major,Quiscalus major,Boat-tailed Grackle,quiscalus-major,,source downloaded - NOT a finished asset,187,Boat-tailed Grackle,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/boat-tailed-grackle,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0187,unverified - check exact scan,not reviewed,sources/187.jpg,https://media.audubon.org/boa_illustration/plate-187-boat-tailed-grackle.jpg,20655bcec8e0e5909102d8fa3c68da3e91495ce6d7f712b4f52a79d2c891ee07,present,https://commons.wikimedia.org/wiki/File:187_Boat-tailed_Grackle.jpg
473,Cackling Goose,exact common name,Branta hutchinsii,Branta hutchinsii,Cackling Goose,branta-hutchinsii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:277_Hutchins%27s_Barnacle_Goose.jpg
474,Mute Swan,exact common name,Cygnus olor,Cygnus olor,Mute Swan,cygnus-olor,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVDomestic_Swan.jpg
475,Black Swan,exact common name,Cygnus atratus,Cygnus atratus,Black Swan,cygnus-atratus,,needs source,,,,,,,,,,,missing,
476,Egyptian Goose,exact common name,Alopochen aegyptiaca,Alopochen aegyptiaca,Egyptian Goose,alopochen-aegyptiaca,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVEgyptian_Goose.jpg
477,Muscovy Duck,exact common name,Cairina moschata,Cairina moschata,Muscovy Duck,cairina-moschata,,needs source,,,,,,,,,,,missing,
478,Mandarin Duck,exact common name,Aix galericulata,Aix galericulata,Mandarin Duck,aix-galericulata,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File%3AAix_galericulata%28Mandarin_duck%29%2C_Pelecanus_%28Pelican%29.jpg
479,Falcated Duck,exact common name,Mareca falcata,Mareca falcata,Falcated Duck,mareca-falcata,,needs source,,,,,,,,,,,missing,
480,Mexican Duck,exact common name,Anas diazi,Anas diazi,Mexican Duck,anas-diazi,,needs source,,,,,,,,,,,missing,
481,Helmeted Guineafowl,exact common name,Numida meleagris,Numida meleagris,Helmeted Guineafowl,numida-meleagris,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Numida_meleagris_1869.jpg
482,California Quail,exact common name,Callipepla californica,Callipepla californica,California Quail,callipepla-californica,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:413_California_Partridge.jpg
483,Greater Prairie-Chicken,exact common name,Tympanuchus cupido,Tympanuchus cupido,Greater Prairie-Chicken,tympanuchus-cupido,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:186_Pinnated_Grous.jpg
484,Golden Pheasant,exact common name,Chrysolophus pictus,Chrysolophus pictus,Golden Pheasant,chrysolophus-pictus,,needs source,,,,,,,,,,,missing,
485,Indian Peafowl,exact common name,Pavo cristatus,Pavo cristatus,Indian Peafowl,pavo-cristatus,,needs source,,,,,,,,,,,missing,
486,Red Junglefowl,exact common name,Gallus gallus,Gallus gallus,Red Junglefowl,gallus-gallus,,needs source,,,,,,,,,,,missing,
487,Chukar,exact common name,Alectoris chukar,Alectoris chukar,Chukar,alectoris-chukar,,needs source,,,,,,,,,,,missing,
488,African Collared-Dove,exact common name,Streptopelia roseogrisea,Streptopelia roseogrisea,African Collared-Dove,streptopelia-roseogrisea,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Keulemans_Onze_vogels_1_47.jpg
489,Mangrove Cuckoo,exact common name,Coccyzus minor,Coccyzus minor,Mangrove Cuckoo,coccyzus-minor,,source downloaded - NOT a finished asset,169,Mangrove Cuckoo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/mangrove-cuckoo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0169,unverified - check exact scan,not reviewed,sources/169.jpg,https://media.audubon.org/boa_illustration/plate-169-mangrove-cuckoo.jpg,cea745ad31ead0b64ddf953dcc0fbcae7f5ae7780d0505f159b9ccdd2077f3dd,present,https://commons.wikimedia.org/wiki/File:169_Mangrove_Cuckoo.jpg
490,Limpkin,exact common name,Aramus guarauna,Aramus guarauna,Limpkin,aramus-guarauna,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:377_Scolopaceus_Courlan.jpg
491,American Oystercatcher,exact common name,Haematopus palliatus,Haematopus palliatus,American Oystercatcher,haematopus-palliatus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:223_Pied_oyster-catcher.jpg
492,American Flamingo,exact common name,Phoenicopterus ruber,Phoenicopterus ruber,American Flamingo,phoenicopterus-ruber,,source downloaded - NOT a finished asset,431,American Flamingo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-flamingo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0431,unverified - check exact scan,not reviewed,sources/431.jpg,https://media.audubon.org/boa_illustration/plate-431-american-flamingo.jpg,a8b94d959c39a980fc9a9b269d3c233c8e8acd15f5f3b23e79ce86eed3ee1820,present,https://commons.wikimedia.org/wiki/File:431_American_Flamingo.jpg
493,Red-billed Tropicbird,exact common name,Phaethon aethereus,Phaethon aethereus,Red-billed Tropicbird,phaethon-aethereus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:PhaethonIndicusSmit.jpg
494,Jabiru,exact common name,Jabiru mycteria,Jabiru mycteria,Jabiru,jabiru-mycteria,,needs source,,,,,,,,,,,missing,
495,Brown Booby,exact common name,Sula leucogaster,Sula leucogaster,Brown Booby,sula-leucogaster,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:207_Booby_Gannet.jpg
496,Snail Kite,exact common name,Rostrhamus sociabilis,Rostrhamus sociabilis,Snail Kite,rostrhamus-sociabilis,,needs source,,,,,,,,,,,missing,
497,Flammulated Owl,exact common name,Psiloscops flammeolus,Psiloscops flammeolus,Flammulated Owl,psiloscops-flammeolus,,needs source,,,,,,,,,,,missing,
498,Western Red-billed Hornbill,exact common name,Tockus kempi,Tockus kempi,Western Red-billed Hornbill,tockus-kempi,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Planches_enlumin%C3%A9es_d%27histoire_naturelle_(9932681986).jpg
499,Red-cockaded Woodpecker,exact common name,Leuconotopicus borealis,Dryobates borealis,Red-cockaded Woodpecker,leuconotopicus-borealis,,source downloaded - NOT a finished asset,390,Red-Cockaded Woodpecker,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/lark-finch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0390,unverified - check exact scan,not reviewed,sources/390.jpg,https://media.audubon.org/boa_illustration/plate-390-lark-finch.jpg,3a237a9d6a171afa15751a37271bb38d6b8a870d4c59d0e05c2db7e68ce187c4,missing,
500,Ivory-billed Woodpecker,unresolved,,,,,Historical/conservation-status case; not ordinary present-day local coverage.,source downloaded - NOT a finished asset,66,Ivory-billed Woodpecker,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/ivory-billed-woodpecker,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0066,unverified - check exact scan,not reviewed,sources/066.jpg,https://media.audubon.org/boa_illustration/plate-66-ivory-billed-woodpecker.jpg,0300cd0d2d69dd9defcd797c17a7efbf3fba426b56a76228512b44c1261dc549,taxonomy-review,
501,Yellow-headed Caracara,exact common name,Daptrius chimachima,Milvago chimachima,Yellow-headed Caracara,daptrius-chimachima,,needs source,,,,,,,,,,,missing,
502,Cockatiel,exact common name,Nymphicus hollandicus,Nymphicus hollandicus,Cockatiel,nymphicus-hollandicus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Nymphicus_hollandicus_-Pal%C3%A6ornis_novae-hollandiae._New_HollandParrakeet_-by_Edward_Lear_1812-1888.jpg
503,Rose-ringed Parakeet,exact common name,Psittacula krameri,Psittacula krameri,Rose-ringed Parakeet,psittacula-krameri,,existing upstream,,,,,,,,,,,present,https://upload.wikimedia.org/wikipedia/commons/3/38/Keulemans_Onze_vogels_3_09.jpg
504,Budgerigar,exact common name,Melopsittacus undulatus,Melopsittacus undulatus,Budgerigar,melopsittacus-undulatus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Melopsittacus_undulatus_-Nanodes_undulatus_Undulated_parrakeet_-by_Edward_Lear_1812-1888.jpg
505,Rosy-faced Lovebird,exact common name,Agapornis roseicollis,Agapornis roseicollis,Rosy-faced Lovebird,agapornis-roseicollis,,needs source,,,,,,,,,,,missing,
506,Lilian's Lovebird,unresolved,,,,,,taxonomy review,,,,,,,,,,,taxonomy-review,
507,White-winged Parakeet,exact common name,Brotogeris versicolurus,Brotogeris versicolurus,White-winged Parakeet,brotogeris-versicolurus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Parrots_in_captivity_(Vol._3._PL._09)_Canary-Winged_Parrakeet_(8528370330).jpg
508,Yellow-chevroned Parakeet,exact common name,Brotogeris chiriri,Brotogeris chiriri,Yellow-chevroned Parakeet,brotogeris-chiriri,,needs source,,,,,,,,,,,missing,
509,Red-lored Amazon,explicit spelling/common-name alternative,Amazona autumnalis,Amazona autumnalis,Red-lored Parrot,amazona-autumnalis,,needs source,,,,,,,,,,,missing,
510,Hyacinth Macaw,exact common name,Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,Hyacinth Macaw,anodorhynchus-hyacinthinus,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Musei_Leveriani_explicatio,_anglica_et_latina_BHL29568424.jpg"
511,Nanday Parakeet,exact common name,Aratinga nenday,Aratinga nenday,Nanday Parakeet,aratinga-nenday,,needs source,,,,,,,,,,,missing,
512,Blue-and-yellow Macaw,exact common name,Ara ararauna,Ara ararauna,Blue-and-yellow Macaw,ara-ararauna,,needs source,,,,,,,,,,,missing,
513,Blue-crowned Parakeet,exact common name,Thectocercus acuticaudatus,Thectocercus acuticaudatus,Blue-crowned Parakeet,thectocercus-acuticaudatus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Aratinga_acuticaudata_1849.jpg
514,Green Parakeet,exact common name,Psittacara holochlorus,Psittacara holochlorus,Green Parakeet,psittacara-holochlorus,,needs source,,,,,,,,,,,missing,
515,Mitred Parakeet,exact common name,Psittacara mitratus,Psittacara mitratus,Mitred Parakeet,psittacara-mitratus,,needs source,,,,,,,,,,,missing,
516,Red-masked Parakeet,exact common name,Psittacara erythrogenys,Psittacara erythrogenys,Red-masked Parakeet,psittacara-erythrogenys,,needs source,,,,,,,,,,,missing,
517,Greater Pewee,exact common name,Contopus pertinax,Contopus pertinax,Greater Pewee,contopus-pertinax,,needs source,,,,,,,,,,,missing,
518,Piratic Flycatcher,exact common name,Legatus leucophaius,Legatus leucophaius,Piratic Flycatcher,legatus-leucophaius,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:A_selection_of_the_birds_of_Brazil_and_Mexico_(Plate_50)_(5977227331).jpg
519,Tropical Kingbird,exact common name,Tyrannus melancholicus,Tyrannus melancholicus,Tropical Kingbird,tyrannus-melancholicus,,needs source,,,,,,,,,,,missing,
520,Cassin's Vireo,exact common name,Vireo cassinii,Vireo cassinii,Cassin's Vireo,vireo-cassinii,,needs source,,,,,,,,,,,missing,
521,Black-whiskered Vireo,exact common name,Vireo altiloquus,Vireo altiloquus,Black-whiskered Vireo,vireo-altiloquus,,needs source,,,,,,,,,,,missing,
522,Red-whiskered Bulbul,exact common name,Pycnonotus jocosus,Pycnonotus jocosus,Red-whiskered Bulbul,pycnonotus-jocosus,,needs source,,,,,,,,,,,missing,
523,Northern Red Bishop,exact common name,Euplectes franciscanus,Euplectes franciscanus,Northern Red Bishop,euplectes-franciscanus,,needs source,,,,,,,,,,,missing,
524,Bronze Mannikin,exact common name,Spermestes cucullata,Spermestes cucullata,Bronze Mannikin,spermestes-cucullata,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Keulemans_Onze_vogels_1_43.jpg
525,Indian Silverbill,exact common name,Euodice malabarica,Euodice malabarica,Indian Silverbill,euodice-malabarica,,needs source,,,,,,,,,,,missing,
526,Orange-cheeked Waxbill,exact common name,Estrilda melpoda,Estrilda melpoda,Orange-cheeked Waxbill,estrilda-melpoda,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Estrilda_melpoda_1876.jpg
527,Black-rumped Waxbill,exact common name,Estrilda troglodytes,Estrilda troglodytes,Black-rumped Waxbill,estrilda-troglodytes,,needs source,,,,,,,,,,,missing,
528,Pin-tailed Whydah,exact common name,Vidua macroura,Vidua macroura,Pin-tailed Whydah,vidua-macroura,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Vidua_macroura_1869.jpg
529,European Goldfinch,exact common name,Carduelis carduelis,Carduelis carduelis,European Goldfinch,carduelis-carduelis,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIGoldfinch.jpg
530,Island Canary,exact common name,Serinus canaria,Serinus canaria,Island Canary,serinus-canaria,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Serinus_canaria_1869.jpg
531,Seaside Sparrow,exact common name,Ammospiza maritima,Ammospiza maritima,Seaside Sparrow,ammospiza-maritima,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_North_America_(PL._CXII)_(6022166185).jpg
532,Tropical Parula,exact common name,Setophaga pitiayumi,Setophaga pitiayumi,Tropical Parula,setophaga-pitiayumi,,needs source,,,,,,,,,,,missing,
533,Grace's Warbler,exact common name,Setophaga graciae,Setophaga graciae,Grace's Warbler,setophaga-graciae,,needs source,,,,,,,,,,,missing,
534,Painted Redstart,exact common name,Myioborus pictus,Myioborus pictus,Painted Redstart,myioborus-pictus,,needs source,,,,,,,,,,,missing,
